id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
993623454426705149,Richmond Place | Luxury Pool Home,410291824,Alex & Dania,,District 9,32.81702548575034,-96.75180103257799,Entire home/apt,850,30,0,,,13,269,0,
994098543347817967,Welcome Traveler,217426330,Gary,,District 2,32.79892719264223,-96.77433528619244,Entire home/apt,100,1,1,2023-12-03,0.15,3,75,1,
994155666571825614,A Dallas Heart warming aromatic 1BD|1BA,539892092,Monk,,District 2,32.8049686,-96.77335699999999,Entire home/apt,53,30,2,2023-11-12,0.26,1,314,2,
994166613804100414,"Look No Further! Parking, Breakfast, and Pool!",501999514,RoomPicks,,District 11,32.88660249674236,-96.77017742075599,Entire home/apt,245,1,0,,,61,358,0,
994167451435524905,"Vacation is Calling! Parking, Breakfast, and Pool!",501999514,RoomPicks,,District 11,32.88819997273925,-96.77170120077331,Entire home/apt,245,1,0,,,61,358,0,
994344925590023552,Super comfy room in a townhouse.,311791231,Dimeji,,District 2,32.7953474,-96.778229,Private room,44,30,0,,,1,226,0,
994360478137712109,Favorite Place in North Dallas!,121140733,Ennie,,District 11,32.88933386004061,-96.77373787372002,Entire home/apt,100,1,8,2024-04-22,0.93,1,217,8,
994767889695137568,Paradise,241618083,Philip,,District 8,32.684139,-96.63551,Private room,80,2,1,2024-04-09,0.42,1,247,1,
994893165857510303,2BR unit near Downtown and Kay Bailey Conv. Ctr,439019396,Cassandra,,District 14,32.80670865741871,-96.76046218060736,Entire home/apt,98,3,12,2024-05-27,1.41,10,254,12,
995021430726923295,YOUR Comfort Zone - Dallas,282491652,Taela,,District 2,32.7960499,-96.7747235,Entire home/apt,103,2,22,2024-06-05,2.81,1,171,22,
995047594133459350,Privacy is Power !,70434115,Janet,,District 4,32.6977213,-96.8543437,Private room,52,1,1,2024-02-18,0.24,4,178,1,
995057345950205310,Moda Lux 1BR near American Airlines Center - J,483533116,Paul,,District 6,32.79099055833556,-96.81577717137219,Entire home/apt,152,1,36,2024-05-27,4.32,32,257,36,
995122029520844505,Highrise Condo,83915292,Tracy And Jay,,District 14,32.78215,-96.79892,Entire home/apt,135,90,0,,,1,269,0,
995317085914000213,Downtown Dallas | LUXE 1BD 1 BA UrbanGETAWAY,397779955,Y.H.,,District 2,32.793898968596615,-96.76811967563734,Entire home/apt,61,1,13,2024-06-03,1.55,29,355,13,
995332404054557746,"23rd FL Bold CozySuites w/pool, gym, roof",372592509,CozySuites Dallas,,District 14,32.78248,-96.798,Entire home/apt,208,2,11,2024-04-24,1.33,48,300,11,
995503522449302589,Relaxing Suite:Breakfast Included at Market Center,447989971,Dallas,,District 6,32.80856129409629,-96.8460921459176,Entire home/apt,161,1,1,2023-11-12,0.14,2,130,1,
995510180121613664,Casa Amelia Bungalow,432811624,Rosa,,District 6,32.875457856113684,-96.86014987528324,Entire home/apt,76,5,6,2024-05-27,0.82,2,88,6,
995710438802309420,"Cozy, comfy room for Long Stays",21413223,Jade,,District 12,32.9997,-96.84627,Private room,,30,0,,,9,9,0,
995743638333321835,Mid-Century Modern 2 Bed/2Bath,442994570,Todd,,District 9,32.8568037,-96.7385901,Entire home/apt,133,30,0,,,24,211,0,
995779521356114050,Private3 near downtown Dallas,469311339,Chanh,,District 7,32.76759,-96.65615,Private room,46,1,2,2024-04-27,0.25,12,269,2,
995812298624988125,Historic Munger Place guest room,529303255,Michael And Ginger,,District 14,32.7989956,-96.7619445,Private room,,1,47,2024-05-05,5.62,2,0,47,
995987905900785498,"Turn back time, mid century.",516852117,Jeffery,,District 2,32.808566595750776,-96.81653950452524,Entire home/apt,107,2,28,2024-06-04,3.35,1,124,28,
996185449385500250,SoHip Bunkhouse,64242304,Megan,,District 14,32.81448742782481,-96.80688954039654,Entire home/apt,154,2,7,2024-04-10,1.21,14,306,7,
997218690294582232,Swiss Avenue Condo w/Pool View,23916014,Braden,,District 14,32.81112776494389,-96.75811643950817,Entire home/apt,117,5,2,2024-02-24,0.30,83,229,2,
997408395349190853,Bishop Arts District Private Rm/Shared Bath,540852324,Zayd,,District 1,32.74025,-96.83739,Private room,55,2,20,2024-06-09,2.88,3,123,20,
997436142109137820,Lux Loft in Deep Ellum,491239436,Ally,,District 2,32.78549599031543,-96.78214180857623,Entire home/apt,103,1,54,2024-06-19,7.75,2,90,54,
998014233699238076,Fun Walk Bishop Arts|Med Center| Pantry|2BR,485389666,Shawn,,District 1,32.75207,-96.82713,Entire home/apt,109,2,16,2024-06-04,1.92,3,271,16,
998108975209454543,Modern Studio Flat,541014210,Reyna,,District 3,32.640919194550165,-96.94332915409713,Entire home/apt,96,2,22,2024-05-30,2.68,1,252,22,
998161500509979874,Modern Luxury Home Meets Cultural Charm in Dallas.,77994868,Steve,,District 2,32.809313977331314,-96.77951194345951,Entire home/apt,299,3,4,2024-03-27,0.57,1,357,4,
998501698694304095,Sleek&stylish townhouse in SOHIP,172657697,Galina,,District 14,32.8176384,-96.8090807,Entire home/apt,154,90,0,,,1,364,0,
998569080732802178,The Zen Suite,465787187,Brandy,,District 6,32.791012077295555,-96.8206269711854,Entire home/apt,129,3,11,2024-05-05,1.40,1,68,11,
998649422984444126,Spacious Uptown Dallas,441364960,EA Housing,,District 14,32.8034325,-96.8097684,Entire home/apt,133,2,19,2024-06-03,2.35,6,133,19,
998847251950279606,Gratefully Homes,541176565,Pierre-Emmanuel,,District 6,32.773795125987974,-96.83659815131944,Entire home/apt,,1,0,,,1,0,0,
999232833320943377,Modern West Dallas Home: 7 Mi to Downtown!,456475914,Evolve,,District 6,32.78998,-96.90009,Entire home/apt,415,2,8,2024-01-21,0.99,37,361,8,
999232837992330922,Chic + Spacious West Dallas Home Near Downtown!,456475914,Evolve,,District 6,32.78077,-96.84543,Entire home/apt,436,2,9,2024-03-31,1.15,37,347,9,
999346462727587735,Green Room in Cool Social House,541280513,Manzil Daei,,District 10,32.921546863429704,-96.73883438541326,Private room,42,25,2,2024-05-25,0.74,3,75,2,
999381785573308980,"Cozy home, near nature preserves, food and fun!",541287673,Betsy,,District 9,32.83554944521668,-96.69034750489844,Entire home/apt,,1,26,2024-05-05,3.21,1,0,26,
1000131744901729645,Charming home - Old  East Dallas,196624223,Nicole,,District 2,32.79981,-96.74932,Entire home/apt,83,2,15,2024-05-20,1.91,1,288,15,
1000198676954534534,Moda Lux 2BR near American Airlines Center - K,483533116,Paul,,District 6,32.79271,-96.81756,Entire home/apt,170,1,54,2024-05-28,6.51,32,337,54,
1000209888255962567,Moda Lux Studio near American Airlines Center - L,483533116,Paul,,District 6,32.79277139894831,-96.81573048226508,Entire home/apt,143,1,28,2024-06-05,3.37,32,362,28,
1000599423884657647,Large 2BR/2BTH w/ Pool | Downtown | Free Valet,181794187,Syed,,District 2,32.77863282641287,-96.79622930778541,Entire home/apt,84,2,14,2024-06-03,2.11,17,347,14,
1000621871142104506,Comfortable + Cozy Home Central to DFW,14138202,Nancy,,District 11,32.928529533611396,-96.76803341785782,Entire home/apt,155,2,4,2024-03-15,0.48,7,232,4,
1001530881007862392,The Dallas Palace - Heart of Lower Greenville!,496563092,Live In Luxury,,District 14,32.82935,-96.7615,Entire home/apt,232,2,8,2024-06-02,1.08,1,254,8,
1002073108471122457,Your Dallas Retreat!,514933876,Joy,,District 2,32.79935,-96.78002,Entire home/apt,82,2,10,2024-06-01,1.28,6,254,10,
1002087073246906910,Dallas Serenity Hideaway!,514933876,Joy,,District 14,32.7958371954646,-96.78040632987094,Entire home/apt,89,2,10,2024-05-22,1.23,6,226,10,
1002148296815431311,Spacious and stylish family room,153830968,Catherine,,District 12,32.98606215806726,-96.77878528243528,Private room,58,30,2,2023-11-25,0.26,4,92,2,
1002230507349369125,Midnight City - Luxury City view,366159245,LuxResis,,District 2,32.78288,-96.78092,Entire home/apt,126,1,29,2024-06-15,5.06,3,354,29,
1003583612634680618,Modern+Central near Downtown+Sleeps 4+FastWiFi!,243993091,Noemi,,District 2,32.79284746677589,-96.77012257497576,Entire home/apt,118,1,30,2024-06-17,3.70,39,358,30,
1003649410783181343,Posh Sparkman Contemporary Ranch,99272825,John,,District 13,32.890229235911626,-96.86336556099258,Entire home/apt,272,30,1,2024-04-22,0.51,2,282,1,
1003734372604596217,Loft apartment downtown dallas,410926243,Stephan,,District 14,32.78268100929106,-96.80450527863991,Private room,65,1,0,,,1,260,0,
1004208189939829919,New Build 3 BR Dallas Home w Sunset Views Rooftop!,265411306,Julius,,District 6,32.79246,-96.85039,Entire home/apt,327,1,16,2024-05-28,2.67,2,361,16,
1004233071813411219,Crystal’s Place,314716461,Crystal,,District 10,32.9191661,-96.7138535,Entire home/apt,75,1,1,2023-11-25,0.14,1,179,1,
1004331782524430629,Central Cozy Apt near DT! Fully-Equipped Kitchen,243993091,Noemi,,District 2,32.793190392757666,-96.77019631880948,Entire home/apt,120,1,29,2024-06-16,3.61,39,265,29,
1004453783125758765,"Comfy Studio w Kitchen, Great Location",416531906,Lisa,,District 10,32.87486273082499,-96.73405986636061,Entire home/apt,66,2,32,2024-06-16,4.47,1,78,32,
1004520887589733957,Walk>Bishop Arts | Travel Workers | Full Studio MC,289869332,Madeline,,District 1,32.74976972969228,-96.83744661660447,Entire home/apt,56,1,10,2024-05-09,1.47,6,66,10,
1004563083889778882,Downtown Gem | Heart of the City,401595636,Grand,,District 14,32.78008,-96.79474,Entire home/apt,123,1,33,2024-06-15,4.02,2,233,33,
1004662206278800236,A Space of Your Own,70434115,Janet,,District 4,32.6977213,-96.8543437,Private room,55,1,3,2024-04-09,0.53,4,269,3,
1004855380523494785,"Bold CozySuites w/pool, gym, roof #5",372592509,CozySuites Dallas,,District 14,32.78205,-96.80169,Entire home/apt,183,2,10,2024-06-15,1.32,48,351,10,
1004872599748069970,Very nice and spacious apartment,461246933,Ayokunle,,District 12,32.99064323731014,-96.84718864644967,Shared room,80,1,0,,,1,269,0,
1005016867085337306,A Place You Can Call Home,478984109,Stevie,,District 2,32.80312,-96.7309,Entire home/apt,79,1,6,2024-06-02,0.87,1,47,6,
1005067434885254916,Payton’s Place | Downtown | Bishop Arts,438354943,Payton,,District 4,32.71258,-96.79919,Entire home/apt,250,1,8,2024-05-26,1.16,1,267,8,
1005083348759616364,"Quiet Remodeled 1BR King Suite | Pool, Gym, Parkin",384827082,Taylor,,District 12,32.99522,-96.80178,Entire home/apt,68,28,8,2024-04-14,1.15,4,349,8,
1005308642618381684,Beautiful CondOasis in Dallas,95429466,Sal,,District 14,32.80714357913646,-96.76707363922392,Entire home/apt,125,150,1,2023-12-11,0.16,1,267,1,
1005851167002785888,Furnished Private Room,404765053,Lauren,,District 4,32.70697756494547,-96.8339454369064,Private room,70,60,1,2023-11-13,0.14,1,258,1,
1006657872715363345,Modern Apartment American Airlines Center w/ Pool,12874014,Juliah,,District 6,32.79653,-96.82181,Entire home/apt,121,1,10,2024-05-10,1.38,2,10,10,
1008161650839862313,Luxury Living +Rooftop Terrace +Views Dallas Downt,543020419,Aqua,,District 4,32.74537,-96.78885,Entire home/apt,265,1,5,2024-06-02,0.75,1,347,5,
1008242641798267358,Alluring ABODE | DT Dallas | 1Bd 1Ba,543038552,Kozy,,District 2,32.79953,-96.77941,Entire home/apt,85,1,30,2024-06-07,3.83,2,218,30,
1008255267201751522,Alluring ABODE | DT Dallas | 1Bd 1Ba,543038552,Kozy,,District 2,32.7998375448136,-96.77973716327098,Entire home/apt,80,1,2,2024-02-17,0.32,2,75,2,
1008445992497193262,CozySuites | TWO Bold Apartments | SKY POOL,372592509,CozySuites Dallas,,District 14,32.78416992414701,-96.799739633263,Entire home/apt,486,2,0,,,48,317,0,
1008689468350675003,Stylish Luxe Apt in Dtown Dallas/Deep Ellum,543129662,Elise,,District 2,32.78711373932305,-96.7821042421947,Entire home/apt,123,1,57,2024-06-17,8.64,1,68,57,
1008731481262955777,The Ultimate View House,438890929,Krys Services,,District 4,32.74316787300506,-96.79597972273856,Entire home/apt,156,1,49,2024-06-16,7.31,3,307,49,
1008803203860858983,condo in the heart of Dallas,343428701,Akiva,,District 13,32.87959,-96.75549,Entire home/apt,85,14,1,2024-05-14,0.79,2,225,1,
1008851700947665132,6 min to UT South>Fast Wi-fi,470228418,David,,District 2,32.81012,-96.82486,Entire home/apt,100,1,27,2024-06-16,3.43,3,318,27,
1008856194290320483,"NEW! Private, Fenced, Bishop Escape! Pets Welcome!",10409068,Joshua,,District 1,32.73836,-96.8712,Entire home/apt,98,1,12,2024-06-16,1.74,3,234,12,
1008899111844880407,Perfect for Traveling Nurse/ Mid-term 3bd 2ba Home,186083850,Leroy,,District 8,32.657740493774156,-96.8546140418617,Entire home/apt,106,30,1,2024-04-21,0.50,3,198,1,
1009646209915359420,Cozy Suite-3 min from Baylor Med-FREE Parking,464462248,Let Them Stay Rentals,,District 2,32.796960234211454,-96.77568498945222,Entire home/apt,88,1,16,2024-05-27,2.67,12,314,16,
1010164111440918236,Modern 1BR near Downtown Dallas,495446500,AuraTouch,,District 14,32.78801031320883,-96.78936447480878,Entire home/apt,106,3,11,2024-04-29,1.49,3,169,11,
1010182536627245615,"Great Choice! 2 Pet-friendly Units, Full Kitchen!",501999514,RoomPicks,,District 11,32.9366950064385,-96.81843707183108,Hotel room,399,1,0,,,61,363,0,
1010784514143319972,Private room Medical District,43889052,Israel,,District 2,32.82277,-96.83322,Private room,36,30,0,,,6,75,0,
1011072831979667251,"Lovely City Getaway Suite , Gated Parking",480823291,Debm Group,,District 2,32.801265,-96.7794545,Entire home/apt,94,1,14,2024-05-27,2.27,1,19,14,
1011508770028203880,Comfortable Stay Near Downtown,85231217,Jerritt,,District 2,32.78667262957846,-96.78213407776046,Entire home/apt,140,1,4,2024-06-04,3.43,1,261,4,
1011762657897608615,Exquisite Architectural Luxury in Heart of Dallas,443587558,Tiffany,,District 2,32.79608273243666,-96.77104187324589,Entire home/apt,280,1,17,2024-06-10,2.51,2,354,17,
1011844238162856997,DFW Home for Travel Professionals,14138202,Nancy,,District 11,32.92781,-96.76614,Entire home/apt,155,3,0,,,7,217,0,
1011849913920903702,Stunning Architectural Luxury in Heart of Dallas!,443587558,Tiffany,,District 2,32.79782047218197,-96.7691082552616,Entire home/apt,450,10,2,2024-02-01,0.32,2,365,2,
1012158569729186478,Great location | KING | Free Parking | W/D,211225279,Jack,,District 14,32.787310306613186,-96.78920403819382,Entire home/apt,151,20,12,2024-05-05,1.58,37,345,12,
1012640361079447891,4 Story Townhome Downtown Dallas/Pool+2 Rooftops,331806431,Tristan,,District 2,32.78008,-96.78837,Entire home/apt,267,1,10,2024-06-13,6.98,1,220,10,
1013047083912708005,Preston Hollow Gem,78782006,Noel,,District 13,32.86706,-96.79978,Entire home/apt,950,2,4,2024-05-20,2.14,1,206,4,
1013250840014159626,Bishop Arts Bungalow / Private Rm/Private Bathroom,540852324,Zayd,,District 1,32.74030388396506,-96.83739300817251,Private room,64,2,18,2024-06-17,2.60,3,173,18,
1013713001135289084,Bardo313,368552150,Mary,,District 1,32.752141233331386,-96.82542403799647,Entire home/apt,108,1,10,2024-06-01,1.35,5,172,10,
1014080804725715236,Dallas Private Room #6,301855937,Aig,,District 5,32.760219532428245,-96.69722394239955,Private room,55,1,7,2024-06-04,0.94,7,269,7,
1014483739507026646,The Library-minutes away from Cedar Ridge Preserve,406729399,Gloria,,District 3,32.67849957940402,-96.92059094807513,Entire home/apt,100,1,21,2024-05-07,2.85,3,16,21,
1014525379432701729,Minimalist |King Bed |By Downtn |Fenced  |TrinityG,3303012,Idris,,District 6,32.78896610693992,-96.84627579973305,Entire home/apt,190,1,10,2024-06-03,1.74,1,177,10,
1014564090292330743,"The Pollard by ASH, Lux + Modern",544292749,Abdulrazaaq Sims Holdings,,District 6,32.7726236983774,-96.84998355802082,Entire home/apt,306,2,21,2024-06-17,2.93,1,110,21,
1014641819763489666,Modern Loft | City Vue+Coziness,451289762,Dom,,District 2,32.78727192346446,-96.7821824348236,Entire home/apt,99,1,46,2024-06-02,6.22,3,152,46,
1015069593681469748,Apartment in downtown Dallas,544379228,CozyHaven,,District 14,32.78271771110259,-96.79789786241881,Entire home/apt,132,1,23,2024-06-10,3.05,2,238,23,
1015172948851058979,"Heated Pool, Golf & Poker Room",24407447,Blake,,District 13,32.895916,-96.868649,Entire home/apt,363,2,6,2024-06-09,0.94,14,42,6,
1015378876428563165,Cityscape Views in Victory Park,440893322,Julian,,District 2,32.790602628541635,-96.80906580000001,Entire home/apt,306,1,30,2024-06-16,4.43,1,67,30,
1015388313014553522,Sublime Midcentury Modern Home,103331883,Candace,,District 7,32.81771897369814,-96.67977594231853,Entire home/apt,116,30,2,2024-04-14,0.59,1,107,2,
1015409547567359379,Farmhouse 1BR | City View | Parking Included,492310945,Mariam,,District 14,32.78226,-96.79966,Entire home/apt,102,1,62,2024-06-18,8.45,2,222,62,
1015937372381326366,Blissful Bungalow - 4 Miles to Downtown - Updated!,60291103,Rivers Retreats Properties,,District 4,32.73829,-96.802,Entire home/apt,221,3,9,2024-05-27,1.52,4,161,9,
1015939325977148707,Dallas Sleek 1BD/1BA King Bed | Free Parking,507084531,Dre Pey,,District 2,32.80626,-96.77394,Entire home/apt,92,1,9,2024-04-28,1.23,1,36,9,
1016155359979037395,Clean Room with natural lighting,403147660,Ronald,,District 7,32.805465759138,-96.67383331975513,Private room,,30,1,2024-04-07,0.40,2,29,1,
1016805862388896124,One-bedroom House of Bishop Arts,544775492,Jeremy,,District 1,32.74786329263137,-96.83747194954887,Entire home/apt,64,1,18,2024-06-09,2.78,1,307,18,
1017371445302012017,Charmer by White Rock & trails,45814261,Brian,,District 14,32.812838481481144,-96.74076892822634,Entire home/apt,285,7,1,2024-05-27,1,2,269,1,
1017377908562141475,Luxury Loft  Downtown Dallas with Private Balcony!,544786453,Jolten,,District 14,32.781223,-96.7973851,Entire home/apt,150,1,30,2024-05-27,4.00,1,289,30,
